iter	Passed	Remaining
0	62	62836
1	63	31573
2	63	21149
3	63	15934
4	64	12807
5	64	10725
6	65	9233
7	65	8116
8	65	7250
9	66	6555
10	66	5984
11	66	5510
12	67	5109
13	67	4766
14	68	4467
15	68	4206
16	68	3974
17	69	3770
18	69	3587
19	69	3422
20	70	3273
21	70	3137
22	70	3014
23	71	2901
24	71	2801
25	72	2706
26	72	2617
27	72	2533
28	73	2455
29	73	2383
30	74	2315
31	74	2253
32	74	2194
33	75	2138
34	75	2084
35	75	2034
36	76	1987
37	76	1942
38	77	1899
39	77	1858
40	77	1822
41	78	1785
42	78	1750
43	79	1716
44	79	1684
45	79	1654
46	80	1625
47	80	1599
48	81	1573
49	81	1547
50	81	1521
51	82	1497
52	82	1474
53	82	1452
54	83	1430
55	83	1412
56	84	1393
57	84	1374
58	85	1357
59	85	1339
60	85	1321
61	86	1304
62	86	1287
63	86	1271
64	87	1256
65	87	1242
66	88	1227
67	88	1210
68	88	1196
69	89	1182
70	89	1169
71	89	1156
72	90	1144
73	90	1132
74	90	1120
75	91	1109
76	91	1098
77	92	1087
78	92	1076
79	92	1066
80	93	1055
81	93	1046
82	93	1036
83	94	1027
84	94	1016
85	94	1007
86	94	996
87	95	987
88	95	979
89	96	970
90	96	962
91	96	954
92	97	946
93	97	939
94	97	932
95	98	925
96	98	918
97	99	911
98	99	905
99	99	897
100	100	891
101	100	882
102	100	876
103	100	869
104	101	863
105	101	857
106	101	851
107	102	845
108	102	839
109	103	834
110	103	829
111	103	823
112	104	818
113	104	812
114	104	807
115	105	801
116	105	796
117	105	791
118	106	785
119	106	781
120	106	776
121	107	772
122	107	765
123	107	762
124	108	757
125	108	753
126	108	748
127	109	743
128	109	739
129	109	735
130	110	731
131	110	727
132	110	723
133	111	719
134	111	715
135	112	711
136	112	707
137	112	703
138	112	699
139	113	696
140	113	692
141	114	688
142	114	685
143	114	681
144	115	678
145	115	675
146	115	671
147	116	668
148	116	665
149	116	662
150	117	659
151	117	656
152	117	653
153	118	650
154	118	647
155	119	644
156	119	641
157	119	638
158	120	635
159	120	632
160	120	630
161	121	627
162	121	624
163	121	621
164	122	619
165	122	616
166	123	613
167	123	610
168	123	608
169	124	605
170	124	603
171	124	600
172	125	598
173	125	595
174	125	593
175	126	591
176	126	589
177	127	587
178	127	585
179	127	582
180	128	579
181	128	577
182	128	575
183	129	573
184	129	571
185	129	568
186	130	566
187	130	564
188	131	562
189	131	560
190	131	558
191	132	556
192	132	554
193	132	552
194	133	550
195	133	548
196	134	546
197	134	544
198	134	542
199	135	540
200	135	538
201	135	536
202	136	534
203	136	533
204	136	531
205	137	529
206	137	527
207	138	525
208	138	523
209	138	521
210	139	519
211	139	518
212	139	516
213	140	514
214	140	513
215	140	511
216	141	509
217	141	507
218	141	506
219	142	504
220	142	503
221	143	501
222	143	499
223	143	498
224	144	496
225	144	494
226	144	493
227	145	491
228	145	490
229	146	488
230	146	487
231	146	485
232	147	484
233	147	482
234	147	481
235	148	479
236	148	478
237	148	476
238	149	475
239	149	473
240	149	472
241	150	470
242	150	469
243	150	467
244	151	466
245	151	464
246	152	463
247	152	462
248	152	460
249	153	459
250	153	458
251	153	456
252	154	455
253	154	453
254	154	452
255	155	451
256	155	450
257	156	449
258	156	447
259	156	446
260	157	445
261	157	444
262	158	442
263	158	441
264	158	440
265	159	439
266	159	437
267	159	436
268	160	435
269	160	434
270	160	432
271	161	431
272	161	430
273	161	429
274	162	427
275	162	426
276	163	425
277	163	424
278	163	423
279	164	422
