iter	Passed	Remaining
0	57	57916
1	59	29452
2	59	19880
3	60	15067
4	61	12167
5	61	10228
6	62	8842
7	62	7799
8	63	6986
9	63	6334
10	64	5811
11	65	5378
12	65	5008
13	66	4695
14	67	4413
15	67	4174
16	68	3960
17	69	3781
18	69	3605
19	70	3457
20	71	3326
21	71	3199
22	72	3083
23	73	2979
24	73	2883
25	74	2794
26	75	2716
27	76	2638
28	76	2565
29	77	2498
30	78	2439
31	78	2378
32	79	2326
33	80	2277
34	80	2227
35	81	2191
36	82	2152
37	83	2111
38	83	2069
39	84	2029
40	85	1991
41	85	1955
42	86	1921
43	86	1888
44	87	1863
45	88	1836
46	89	1807
47	89	1780
48	90	1753
49	90	1727
50	91	1702
51	92	1677
52	92	1654
53	93	1634
54	93	1611
55	94	1592
56	95	1573
57	95	1554
58	96	1535
59	97	1523
60	98	1515
61	99	1500
62	99	1485
63	100	1471
64	101	1460
65	102	1450
66	103	1436
67	103	1421
68	104	1407
69	104	1393
70	105	1380
71	106	1367
72	106	1355
73	107	1342
74	107	1330
75	108	1322
76	109	1311
77	110	1300
78	110	1290
79	111	1280
80	112	1275
81	113	1271
82	113	1257
83	114	1247
84	115	1238
85	115	1230
86	116	1224
87	117	1216
88	117	1207
89	118	1198
90	119	1189
91	119	1181
92	120	1172
93	120	1165
94	121	1157
95	122	1149
96	122	1142
97	123	1137
98	124	1130
99	124	1122
100	125	1115
101	125	1109
102	126	1101
103	127	1098
104	128	1094
105	129	1091
106	129	1083
107	130	1077
108	131	1073
109	132	1069
110	132	1062
111	133	1056
112	133	1049
113	134	1044
114	134	1038
115	135	1032
116	135	1025
117	136	1020
118	137	1014
119	137	1008
120	138	1008
121	139	1005
122	140	1002
123	141	999
124	144	1012
125	145	1008
126	145	1003
127	147	1005
128	149	1009
129	150	1008
130	151	1003
131	152	1000
132	152	995
133	153	993
134	154	992
135	156	993
136	157	991
137	158	989
138	160	991
139	161	989
140	161	985
141	162	979
142	162	975
143	163	971
144	164	967
145	164	963
146	165	959
147	165	954
148	166	950
149	166	946
150	167	941
151	168	938
152	168	934
153	169	931
154	170	927
155	170	925
156	171	922
157	173	922
158	173	918
159	174	917
160	175	912
161	175	909
162	176	907
163	177	905
164	178	902
165	178	898
166	179	895
167	180	891
168	180	888
169	181	884
170	181	881
171	182	877
172	182	874
173	183	872
174	184	869
175	184	865
176	185	862
177	186	859
178	186	855
179	187	852
180	187	850
181	188	847
182	189	845
183	190	842
184	190	839
185	191	836
186	191	833
187	192	831
188	193	828
189	193	825
190	194	823
191	194	820
192	195	817
193	196	814
194	196	811
195	197	809
196	197	806
197	198	803
198	199	801
199	199	798
200	200	795
201	200	792
202	201	789
203	202	788
204	202	787
205	203	784
206	204	782
207	204	779
208	205	776
209	205	774
210	206	772
211	207	770
212	207	768
213	208	765
214	209	763
215	209	760
216	210	758
217	210	755
218	211	753
219	212	751
220	212	749
221	213	748
222	214	746
223	215	744
224	215	743
225	216	741
226	217	738
227	217	737
228	218	736
229	219	734
230	220	732
231	221	731
232	221	730
233	222	728
234	223	727
235	224	725
236	224	723
237	225	721
238	226	719
239	226	717
240	227	715
241	227	713
242	228	711
243	229	709
244	229	708
245	230	707
246	231	705
247	232	703
248	232	702
249	233	701
250	234	699
251	235	698
252	236	696
253	236	695
254	237	693
255	238	692
256	238	690
257	239	688
258	240	687
259	240	685
260	241	683
261	242	682
262	243	681
263	243	680
264	245	679
265	245	678
266	246	676
267	251	686
268	253	688
269	254	687
270	256	689
271	258	692
272	260	692
273	260	691
274	262	691
275	263	690
276	264	689
277	265	688
278	265	686
279	266	685
280	267	685
281	269	685
282	269	683
283	270	682
284	271	681
285	272	680
286	273	678
287	273	677
288	274	675
289	275	674
290	276	672
291	276	671
292	277	669
293	278	668
294	279	667
295	279	665
296	280	664
297	281	663
